Nota,Parcela,Valor,DataEntrada
885841,0,551361.076341916,2023-02-18
885842,0,550529.861401691,2023-07-17
885843,0,647293.863989606,2023-12-28
885851,0,640262.542648169,2023-04-17
885855,0,450735.49477794,2024-01-05
885861,0,620446.465731509,2024-05-29
885864,0,572858.114259008,2024-05-08
885865,0,573004.18105182,2023-01-28
885866,0,264524.55807012,2023-06-23
885869,0,260573.48709005,2024-01-01
885870,0,303845.641334677,2023-01-07
885872,0,258328.304846066,2024-01-09
885883,0,646794.295197378,2024-05-05
885906,0,510545.51618769,2024-01-18
885915,0,633293.145317022,2024-02-21
885918,0,260231.062840432,2024-01-19
885919,0,607573.040318529,2024-06-07
885920,0,681646.574432742,2023-06-22
885928,0,551860.417292784,2024-03-01
885933,0,288238.276184138,2023-10-28
885936,0,553908.277283564,2024-02-29
885944,0,259519.859910556,2023-11-27
885949,0,504394.517369341,2023-12-08
885953,0,299357.663321778,2024-02-18
885956,0,212343.02452994,2023-02-28
885960,0,253201.353210738,2023-06-26
885963,0,561038.081708479,2024-03-08
885967,0,557912.104160004,2023-12-07
885972,0,603809.050734741,2023-06-24
885984,0,599002.384796043,2023-01-10
885987,0,222539.306543015,2024-06-11
885990,0,567966.629331586,2023-08-18
886006,0,308289.08740972,2023-12-03
886007,0,323032.685732533,2024-01-13
886016,0,233339.198790916,2023-11-05
886023,0,633099.058795581,2023-08-11
886026,0,590213.304729839,2023-07-26
886039,0,504203.812842939,2023-06-12
886051,0,574007.354650369,2024-05-26
886056,0,499721.662340291,2024-01-16
886057,0,296612.733991855,2023-08-19
886058,0,562641.751715345,2023-05-02
886061,0,276099.406470511,2024-03-02
886068,0,233792.086508531,2024-06-14
886071,0,239794.041838007,2024-02-20
886073,0,294291.107032365,2023-02-27
886076,0,574406.959588843,2023-10-05
886077,0,541354.326124215,2023-03-01
886084,0,588598.398394939,2024-04-08
886085,0,644880.795729844,2024-05-27
886087,0,581324.434603801,2023-03-26
886090,0,523866.419475243,2023-04-02
886094,0,657251.787331558,2024-01-03
886100,0,504741.398877348,2024-01-21
886106,0,221380.404213712,2023-08-18
886107,0,485073.426552597,2023-01-26
886112,0,674849.5070182,2023-10-22
886114,0,552411.920124142,2024-03-24
886115,0,569293.551823889,2024-03-05
886116,0,531371.468776506,2023-10-08
886121,0,262741.528136915,2023-01-20
886126,0,613166.645183933,2023-01-31
886131,0,543218.566028224,2024-02-06
886132,0,565221.002193756,2024-04-29
886136,0,547211.085475638,2023-12-13
886138,0,559421.48384448,2024-02-21
886145,0,601202.529412469,2023-09-01
886146,0,450216.42261467,2024-06-04
886154,0,234831.402189318,2024-03-13
886155,0,674839.826106089,2024-02-24
886156,0,568034.291184779,2023-04-26
886168,0,209105.720481015,2023-07-29
886171,0,559640.019272946,2023-03-13
886178,0,450695.29763322,2023-02-25
886180,0,531931.145524149,2023-08-28
886182,0,275488.915083319,2024-02-27
886183,0,232627.647737125,2024-04-22
886186,0,561895.602290782,2024-06-21
886189,0,599664.661762583,2023-03-06
886196,0,305751.997416122,2023-10-03
886204,0,321902.907315812,2024-04-07
886205,0,602276.766675721,2023-12-14
886206,0,557102.34055604,2023-10-18
886207,0,312700.314771436,2024-01-29
886209,0,270286.757779825,2023-11-23
886211,0,588403.581710989,2024-05-29
886212,0,656484.355334226,2024-03-24
886226,0,298550.554443887,2023-08-10
886236,0,605772.044140016,2023-07-08
886239,0,300096.531218692,2023-01-26
886242,0,244477.462670978,2024-03-09
886248,0,706930.549755343,2023-12-11
886250,0,688209.881940431,2023-05-18
886251,0,468761.618738865,2023-04-23
886254,0,317252.064018398,2023-08-29
886259,0,591356.948491669,2023-09-20
886261,0,237832.943689626,2024-01-12
886266,0,667006.962298938,2023-09-21
886270,0,562843.878692213,2023-11-21
886275,0,465324.43118968,2023-06-19
886280,0,593634.763056882,2023-11-12
886285,0,624060.09724035,2024-07-02
886286,0,253154.995974949,2024-05-29
886289,0,559376.836932575,2024-03-12
886292,0,282454.917707331,2024-05-07
886293,0,290357.982661638,2024-06-05
886301,0,453379.983809384,2023-01-29
886304,0,635820.295692545,2023-08-19
886305,0,304938.613547716,2023-10-22
886307,0,256344.195222879,2024-01-03
886308,0,537987.166783856,2023-04-11
886310,0,286020.371049448,2023-10-19
886313,0,242877.497250984,2023-02-19
886314,0,619836.762622648,2023-12-24
886315,0,224309.186279363,2023-11-27
886316,0,234981.023048491,2024-02-18
886318,0,489479.796642992,2024-05-29
886323,0,636551.395349225,2023-08-21
886341,0,258454.358993298,2023-05-04
886348,0,564802.546926489,2023-03-25
886349,0,472839.873580275,2023-09-25
886360,0,578176.111688633,2023-10-09
886364,0,231791.057022642,2024-06-24
886372,0,316388.722266495,2023-08-27
886373,0,575893.410595961,2023-02-09
886375,0,444186.413835516,2023-04-13
886381,0,639008.220117966,2023-06-22
886384,0,517159.315105166,2023-12-18
886385,0,299522.836366981,2023-10-22
886387,0,328848.046890418,2023-02-21
886388,0,261422.971411544,2023-12-30
886389,0,288196.985538424,2024-03-02
886391,0,714345.370847332,2023-07-17
886398,0,613163.064493832,2024-02-29
886402,0,312740.458695387,2023-04-01
886408,0,244504.574137674,2023-08-17
886420,0,560459.327521353,2024-06-14
886422,0,262944.107386791,2024-05-02
886424,0,599619.954907547,2024-04-04
886426,0,273867.183879837,2023-12-10
886429,0,301785.952098108,2024-02-20
886431,0,547512.931186166,2023-07-11
886438,0,624811.501390803,2023-03-10
886445,0,662533.805555686,2023-09-30
886447,0,212893.174568186,2024-07-08
886449,0,673313.850006641,2024-05-18
886451,0,519359.240640833,2023-10-19
886457,0,611403.200018613,2023-04-16
886458,0,511549.880599199,2024-06-26
886462,0,504062.929866157,2024-04-05
886465,0,255502.245360277,2023-03-04
886470,0,418478.503760473,2024-03-20
886482,0,424475.711505502,2023-06-19
886484,0,511870.374160132,2023-04-17
886493,0,325620.221692059,2023-06-18
886501,0,478881.907596683,2024-04-02
886502,0,632785.482575249,2023-12-21
886507,0,534781.648970897,2023-09-28
886513,0,216895.063970642,2023-10-22
886518,0,611809.396754007,2023-03-26
886520,0,623413.9039807,2023-10-06
886522,0,579927.270976298,2023-12-11
886523,0,303159.021613149,2024-03-01
886527,0,580468.584170119,2023-10-15
886532,0,619760.642510127,2024-05-04
886534,0,254499.932359399,2024-02-12
886536,0,600980.03960287,2023-01-30
886539,0,545776.375234568,2023-04-17
886547,0,599671.007652356,2023-07-17
886548,0,566011.017488967,2023-08-28
886550,0,243616.385354773,2023-07-09
886553,0,592208.541497178,2024-06-08
886554,0,249597.348592767,2023-05-08
886555,0,544274.731515363,2024-05-18
886560,0,311274.336887221,2024-04-23
886561,0,554886.275203523,2023-09-25
886562,0,289085.51527761,2023-07-19
886563,0,240057.660198694,2024-05-03
886565,0,582404.326285106,2023-06-01
886567,0,301460.968395663,2023-04-16
886568,0,640915.606091759,2023-08-07
886571,0,282711.480150651,2024-01-01
886583,0,319518.109017698,2023-09-15
886584,0,285722.855762848,2023-10-12
886585,0,277179.371733685,2023-11-03
886588,0,227821.052798477,2023-08-26
886604,0,569852.220443272,2023-01-14
886606,0,599208.310076277,2023-10-25
886612,0,657112.72572495,2024-05-03
886615,0,257816.064000283,2023-12-30
886617,0,578353.890090004,2023-04-13
886621,0,509687.7113671,2024-01-26
886622,0,610591.575955822,2024-01-09
886626,0,235224.810056375,2023-03-15
886627,0,540310.481386764,2023-08-18
886628,0,533582.885566669,2023-11-06
886633,0,302404.195678905,2023-12-02
886635,0,288425.09230533,2023-11-11
886638,0,441272.313572543,2023-05-21
886639,0,310354.406020895,2023-11-11
886653,0,675907.723817262,2023-07-15
886654,0,598926.180545463,2023-06-10
886657,0,296330.466803242,2024-05-19
886662,0,627379.797870102,2023-06-23
886665,0,599389.013723084,2023-10-01
886666,0,564658.08989254,2023-08-08
886678,0,605154.796391671,2024-02-16
886682,0,531269.636477555,2023-07-22
886688,0,249256.593700046,2023-11-23
886689,0,668498.097730775,2023-11-10
886692,0,572400.140851286,2024-02-01
886701,0,488107.449911087,2023-05-28
886703,0,540433.730999021,2023-02-27
886705,0,550481.715293086,2023-05-27
886709,0,451555.443861629,2023-10-22
886712,0,242646.924231021,2023-11-30
886713,0,295592.784284744,2024-01-24
886717,0,548534.122182342,2023-03-19
886721,0,653454.20885079,2024-01-10
886723,0,634801.621066742,2024-06-03
886725,0,611434.756233105,2023-04-10
886726,0,656264.637720554,2023-07-12
886732,0,600708.404547792,2023-03-15
886735,0,260128.519168605,2023-01-08
886738,0,302070.807073253,2023-06-16
886739,0,625523.863030672,2023-07-22
886740,0,255356.967723315,2023-11-28
886746,0,228184.56106804,2023-11-07
886748,0,264235.833527505,2023-12-16
886754,0,617032.734914601,2024-06-18
886758,0,435798.175924702,2023-06-29
886760,0,208767.974308207,2023-06-18
886768,0,428525.892238781,2024-04-29
886770,0,609002.388667504,2023-10-09
886774,0,285760.153411831,2023-06-04
886776,0,671530.818015068,2023-01-20
886784,0,685077.701580948,2024-03-19
886794,0,257745.725203052,2024-03-21
886795,0,589114.078201536,2024-02-14
886798,0,614887.838737203,2024-05-14
886805,0,274789.181015465,2023-11-26
886808,0,646674.36623436,2023-06-23
886809,0,458815.367967296,2023-08-07
886812,0,662835.182426516,2024-05-09
886813,0,560814.050954251,2023-04-05
886814,0,614849.772315287,2023-07-29
886817,0,217942.91396298,2023-11-08
886821,0,606299.006087212,2023-08-31
886827,0,326614.953565184,2023-12-01
886837,0,301807.979615613,2023-10-22
886838,0,633759.809260579,2023-07-08
886841,0,556582.460859573,2023-02-20
886848,0,596266.452283961,2023-10-31
886854,0,314114.292914236,2023-09-18
886865,0,280764.131970307,2023-04-20
886866,0,501615.79455578,2023-09-16
886870,0,268146.804056016,2024-04-17
886873,0,321322.904071375,2023-03-04
886879,0,602507.014078193,2024-04-12
886882,0,647061.082113587,2023-06-07
886891,0,529557.424657971,2023-02-05
886898,0,628381.158000899,2024-04-29
886899,0,476345.234930105,2023-07-30
886900,0,551481.46777845,2023-01-19
886902,0,623211.709150702,2023-08-05
886903,0,261703.967403612,2023-08-12
886904,0,252434.759715654,2024-02-17
886910,0,302621.860820691,2024-04-16
886911,0,291500.348373871,2024-02-19
886912,0,261460.321625761,2023-09-08
886917,0,291019.963741473,2023-07-21
886919,0,594555.06561001,2023-03-14
886920,0,271586.149344899,2024-06-30
886921,0,245506.347182141,2023-07-21
886924,0,579920.017113738,2024-04-03
886926,0,538581.396623985,2023-11-21
886927,0,689662.07125322,2023-03-17
886928,0,632139.595168825,2023-01-11
886929,0,592509.29398522,2024-04-19
886930,0,597256.021716813,2023-12-29
886938,0,472131.508710657,2024-02-28
886942,0,553935.980445952,2023-10-15
886953,0,223906.054776458,2023-12-15
886954,0,281518.490100637,2023-04-17
886955,0,650624.70803639,2024-05-31
886956,0,293864.976542962,2023-03-08
886964,0,537871.094273483,2023-08-22
886965,0,632060.307780993,2024-03-15
886973,0,656027.843194502,2023-11-22
886974,0,590441.528106832,2024-04-27
886975,0,640256.5396724,2023-10-27
886978,0,639598.655099957,2023-06-21
886989,0,263719.826471536,2024-05-21
886994,0,640089.494303203,2023-04-30
886996,0,665459.045249391,2023-09-05
887000,0,464085.644627358,2024-06-01
887001,0,519352.753823614,2023-09-30
887002,0,252690.071108493,2024-06-03
887006,0,648109.364018013,2024-01-05
887015,0,629945.148341456,2023-01-29
887018,0,515015.803380793,2023-08-10
887022,0,560848.576263474,2024-02-16
887024,0,641469.574118865,2023-04-20
887025,0,642453.66959587,2023-07-22
887027,0,609967.117905751,2023-04-14
887031,0,579173.004167322,2023-10-13
887034,0,542263.012060672,2023-10-18
887035,0,490513.421342487,2024-02-19
887038,0,245160.508477181,2023-07-21
887044,0,630445.569803015,2023-04-16
887046,0,551520.761836316,2024-05-07
887049,0,256185.818072597,2023-07-03
887051,0,225598.47526102,2023-05-20
887053,0,508027.160877122,2024-06-29
887055,0,578313.060989126,2023-12-22
887056,0,553850.193804469,2023-11-16
887057,0,272344.671119665,2023-10-10
887060,0,577393.496595921,2024-06-07
887061,0,251347.712256612,2023-10-20
887062,0,224586.699101833,2023-09-19
887064,0,549212.528726653,2023-03-13
887073,0,655734.142545357,2024-05-28
887074,0,604371.899332137,2023-03-29
887081,0,620540.367980217,2023-05-29
887083,0,243134.060984375,2023-06-19
887090,0,551104.157841849,2023-11-28
887097,0,635735.618996648,2024-03-28
887098,0,516375.456303886,2024-06-27
887100,0,457590.858130921,2023-11-18
887104,0,563830.586120374,2024-01-14
887107,0,427257.439280433,2023-12-19
887109,0,611433.695158236,2023-01-15
887116,0,482760.640246176,2023-01-24
887117,0,697978.575687209,2024-04-09
887123,0,234718.709498693,2023-09-21
887125,0,237573.928756172,2023-07-27
887126,0,299805.122967214,2024-05-12
887128,0,310639.315859233,2023-07-05
887131,0,590684.613043941,2024-01-06
887132,0,617524.862828273,2024-04-10
887133,0,667938.934782526,2023-03-10
887134,0,260426.283465043,2023-03-27
887137,0,583439.038344801,2023-09-04
887141,0,602211.377234313,2023-03-19
887145,0,672994.800550397,2023-12-20
887155,0,313995.00591655,2023-04-20
887156,0,241998.753427678,2023-08-05
887158,0,620650.72910286,2024-04-16
887159,0,693444.048261113,2023-12-09
887162,0,582081.016545419,2023-12-28
887165,0,217566.480558377,2023-02-15
887168,0,260387.676594543,2023-08-16
887174,0,243881.471559124,2023-12-20
887178,0,572597.383990887,2023-10-30
887179,0,449525.604344835,2023-01-10
887180,0,637173.558830331,2024-07-08
887181,0,597693.288173074,2023-04-23
887184,0,563056.655715093,2023-07-18
887188,0,473650.845661297,2024-05-27
887189,0,575217.975203572,2024-04-15
887193,0,585012.535986701,2024-03-15
887203,0,259525.12875235,2024-02-14
887220,0,519433.48137809,2024-03-07
887221,0,270782.732814558,2024-03-05
887225,0,534333.028645293,2023-04-02
887227,0,686186.110579314,2023-01-14
887230,0,510942.985907942,2023-06-17
887234,0,295805.487623634,2023-01-21
887236,0,654211.20674664,2024-02-29
887237,0,314930.210755405,2023-11-23
887238,0,222984.819777022,2023-04-30
887241,0,246309.785538475,2023-06-16
887244,0,644877.649546071,2023-04-15
887245,0,661958.495105143,2023-11-14
887247,0,646281.582695119,2023-04-30
887249,0,654778.317955289,2023-12-30
887253,0,224648.437567131,2024-06-27
887255,0,262687.264058574,2023-05-30
887257,0,262576.421744079,2024-02-18
887258,0,307639.725742685,2023-06-02
887261,0,622890.991794733,2023-12-11
887262,0,458336.107688924,2023-02-16
887265,0,485096.16180528,2023-10-14
887272,0,670105.087123636,2024-02-24
887273,0,308634.2537527,2024-03-18
887276,0,697904.796232319,2024-04-16
887281,0,651926.443921839,2023-09-01
887289,0,538105.75921721,2024-07-08
887295,0,592255.648490733,2023-07-28
887299,0,568616.512562562,2024-06-13
887302,0,284886.165213217,2024-06-07
887303,0,494484.409994092,2023-01-14
887305,0,210586.587408659,2023-03-30
887310,0,659802.902098202,2024-06-23
887313,0,650974.398106788,2023-06-05
887319,0,219100.574060061,2024-05-20
887324,0,664525.858934066,2023-11-04
887327,0,534522.912348076,2024-01-30
887328,0,589759.048437436,2023-08-27
887330,0,568404.612306032,2023-08-20
887336,0,286366.344636275,2023-02-21
887338,0,443130.116676789,2023-11-29
887341,0,218640.352310835,2024-06-05
887343,0,558888.760844349,2023-08-12
887344,0,277074.535034392,2023-06-12
887345,0,567513.643892462,2023-01-04
887347,0,591044.449483053,2024-03-21
887357,0,226210.320733257,2023-11-09
887367,0,306999.871799336,2023-12-28
887368,0,270059.704247,2023-01-22
887369,0,213427.257442517,2023-10-19
887372,0,492214.947033678,2023-08-16
887376,0,659355.162326416,2024-02-01
887377,0,666293.233658777,2023-06-09
887381,0,226313.531249088,2023-05-18
885522,0,4529.699999999953,2024-02-05
885524,0,4529.600000000006,2024-03-06
885525,0,4533.200000000012,2024-04-05
885526,0,4530.299999999988,2024-05-05
885527,0,4533.0,2024-06-04
885529,0,4533.299999999988,2024-02-04
885530,0,4530.599999999977,2024-03-05
885531,0,4533.800000000047,2024-04-04
885535,0,4533.799999999988,2024-05-04
885536,0,4530.599999999977,2024-06-03
885538,0,4530.400000000023,2024-03-11
885539,0,4534.5,2024-04-10
885540,0,4530.599999999977,2024-05-10
885542,0,4530.700000000012,2024-06-09
885543,0,4534.600000000006,2024-02-11
885544,0,4526.0,2024-03-12
885546,0,4514.799999999988,2024-04-11
885548,0,4519.599999999977,2024-06-10
885550,0,4539.900000000023,2024-03-09
885551,0,4513.099999999977,2024-04-08
885553,0,4543.199999999953,2024-05-08
885555,0,4534.5,2024-06-07
885557,0,4504.800000000047,2024-03-12
885558,0,4518.5,2024-04-11
885559,0,4508.100000000006,2024-05-11
885560,0,4547.400000000023,2024-06-10
885561,0,4538.299999999988,2024-02-14
885562,0,4529.700000000012,2024-03-15
885564,0,4501.199999999953,2024-04-14
885565,0,4497.099999999977,2024-05-14
885566,0,4523.5,2024-06-13
885567,0,4545.900000000023,2024-03-17
885568,0,4522.699999999953,2024-04-16
885569,0,4521.599999999977,2024-05-16
885570,0,4542.599999999977,2024-06-15
885571,0,4519.200000000012,2024-03-17
885573,0,4517.200000000012,2024-04-16
885575,0,4511.100000000006,2024-05-16
885576,0,4534.200000000012,2024-06-15
885577,0,4506.599999999977,2024-02-14
885578,0,4530.0,2024-03-15
885579,0,4503.099999999977,2024-04-14
885580,0,4548.0,2024-05-14
885582,0,4499.0,2024-06-13
885583,0,4517.300000000047,2024-02-12
885584,0,4516.599999999977,2024-03-13
885585,0,4514.5,2024-04-12
885586,0,4530.5,2024-05-12
885587,0,4516.400000000023,2024-06-11
885588,0,4508.199999999953,2024-03-24
885589,0,4499.900000000023,2024-04-23
885590,0,4504.400000000023,2024-05-23
885592,0,4504.400000000023,2024-06-22
885593,0,4506.599999999977,2024-02-14
885594,0,4521.100000000006,2024-03-15
885595,0,4532.699999999953,2024-04-14
885596,0,4537.099999999977,2024-05-14
885597,0,4513.0,2024-06-13
885598,0,4508.700000000012,2024-02-15
885599,0,4502.900000000023,2024-03-16
885600,0,4540.599999999977,2024-04-15
885601,0,4523.400000000023,2024-05-15
885602,0,4507.700000000012,2024-06-14
885605,0,4495.400000000023,2024-03-25
885606,0,4542.599999999977,2024-04-24
885609,0,4500.399999999994,2024-05-24
885610,0,4528.200000000012,2024-06-23
885611,0,4531.399999999994,2023-12-30
885613,0,4516.099999999977,2024-01-29
885614,0,4497.899999999994,2024-02-28
885615,0,4519.199999999953,2024-03-29
885617,0,4503.900000000023,2024-04-28
885619,0,4538.099999999977,2024-05-28
885620,0,4540.5,2024-06-27
885622,0,4501.0,2023-09-09
885623,0,4495.200000000012,2023-10-09
885624,0,4509.900000000023,2023-11-08
885626,0,4536.0,2023-12-08
885627,0,4503.099999999977,2024-01-07
885628,0,4508.400000000023,2024-02-06
885632,0,4506.799999999988,2024-03-07
885633,0,4505.799999999988,2024-04-06
885637,0,4517.900000000023,2024-05-06
885638,0,4510.0,2024-06-05
885639,0,4516.599999999977,2023-08-31
885640,0,4503.099999999977,2023-09-30
885641,0,4542.900000000023,2023-10-30
885642,0,4536.100000000006,2023-11-29
885645,0,4547.100000000006,2023-12-29
885646,0,4507.300000000047,2024-01-28
885647,0,4503.899999999994,2024-02-27
885649,0,4544.599999999977,2024-03-28
885650,0,4525.300000000047,2024-04-27
885651,0,4514.900000000023,2024-05-27
885652,0,4537.800000000047,2024-06-26
885653,0,4520.599999999977,2023-10-27
885654,0,4538.399999999994,2023-11-26
885655,0,4513.700000000012,2023-12-26
885656,0,4504.599999999977,2024-01-25
885658,0,4506.400000000023,2024-02-24
885659,0,4538.599999999977,2024-03-25
885660,0,4519.200000000012,2024-04-24
885661,0,4512.200000000012,2024-05-24
885662,0,4522.099999999977,2024-06-23
885663,0,4542.399999999994,2024-05-17
885664,0,4526.5,2024-06-16
885665,0,4496.700000000012,2023-08-23
885666,0,4503.600000000006,2023-09-22
885667,0,4497.799999999988,2023-10-22
885669,0,4541.0,2023-11-21
885670,0,4523.800000000047,2023-12-21
885671,0,4494.400000000023,2024-01-20
885672,0,4536.400000000023,2024-02-19
885673,0,4513.199999999953,2024-03-20
885674,0,4505.5,2024-04-19
885675,0,4498.400000000023,2024-05-19
885676,0,4498.900000000023,2024-06-18
885677,0,4547.0,2024-06-19
885678,0,4537.0,2024-03-24
885680,0,4502.599999999977,2024-04-23
885681,0,4518.099999999977,2024-05-23
885683,0,4512.700000000012,2024-06-22
885684,0,4533.399999999994,2023-06-01
885685,0,4497.099999999977,2023-07-01
885687,0,4520.799999999988,2023-07-31
885688,0,4536.0,2023-08-30
885690,0,4522.099999999977,2023-09-29
885691,0,4546.099999999977,2023-10-29
885692,0,4494.299999999988,2023-11-28
885693,0,4516.400000000023,2023-12-28
885694,0,4523.5,2024-01-27
885695,0,4520.5,2024-02-26
885696,0,4547.799999999988,2024-03-27
885697,0,4525.0,2024-04-26
885698,0,4524.799999999988,2024-05-26
885699,0,4497.599999999977,2024-06-25
885700,0,4546.100000000006,2023-10-16
885701,0,4503.099999999977,2023-11-15
885702,0,4525.100000000006,2023-12-15
885703,0,4540.099999999977,2024-01-14
885704,0,4508.599999999977,2024-02-13
885705,0,4501.699999999953,2024-03-14
885706,0,4513.599999999977,2024-04-13
885708,0,4518.700000000012,2024-05-13
885710,0,4503.200000000012,2024-06-12
885711,0,4543.800000000047,2023-07-04
885712,0,4518.699999999953,2023-08-03
885713,0,4513.100000000006,2023-09-02
885714,0,4529.399999999994,2023-10-02
885716,0,4506.799999999988,2023-11-01
885717,0,4511.0,2023-12-01
885719,0,4515.400000000023,2023-12-31
885720,0,4496.300000000047,2024-01-30
885721,0,4541.5,2024-02-29
885722,0,4538.400000000023,2024-03-30
885723,0,4546.600000000006,2024-04-29
885724,0,4507.0,2024-05-29
885725,0,4493.400000000023,2024-06-28
885726,0,4540.599999999977,2024-05-01
885727,0,4533.699999999953,2024-05-31
885728,0,4540.099999999977,2024-06-30
885729,0,4508.099999999977,2024-02-05
885730,0,4518.699999999953,2024-03-06
885731,0,4497.599999999977,2024-04-05
885732,0,4523.700000000012,2024-05-05
885734,0,4545.400000000023,2024-06-04
885735,0,4544.599999999977,2023-04-26
885736,0,4530.700000000012,2023-05-26
885737,0,4511.099999999977,2023-06-25
885738,0,4522.0,2023-07-25
885739,0,4493.799999999988,2023-08-24
885741,0,4523.200000000012,2023-09-23
885743,0,4522.5,2023-10-23
885744,0,4532.5,2023-11-22
885746,0,4501.700000000012,2023-12-22
885749,0,4499.0,2024-01-21
885751,0,4520.799999999988,2024-02-20
885752,0,4510.099999999977,2024-03-21
885753,0,4542.199999999953,2024-04-20
885754,0,4499.0,2024-05-20
885755,0,4547.400000000023,2024-06-19
885758,0,4498.399999999994,2023-03-16
885759,0,4505.700000000012,2023-04-15
885760,0,4515.900000000023,2023-05-15
885763,0,4498.599999999977,2023-06-14
885764,0,4508.300000000047,2023-07-14
885765,0,4538.699999999953,2023-08-13
885766,0,4538.099999999977,2023-09-12
885767,0,4537.400000000023,2023-10-12
885768,0,4530.300000000047,2023-11-11
885769,0,4540.599999999977,2023-12-11
885770,0,4502.400000000023,2024-01-10
885771,0,4532.200000000012,2024-02-09
885772,0,4543.099999999977,2024-03-10
885773,0,4498.699999999953,2024-04-09
885774,0,4494.199999999953,2024-05-09
885775,0,4539.5,2024-06-08
885776,0,4535.300000000047,2023-12-05
885777,0,4519.099999999977,2024-01-04
885778,0,4526.800000000047,2024-02-03
885779,0,4517.099999999977,2024-03-04
885780,0,4500.299999999988,2024-04-03
885781,0,4498.099999999977,2024-05-03
885782,0,4539.299999999988,2024-06-02
885783,0,4541.799999999988,2023-11-27
885784,0,4528.599999999977,2023-12-27
885787,0,4539.800000000047,2024-01-26
885788,0,4516.0,2024-02-25
885789,0,4530.099999999977,2024-03-26
885790,0,4514.900000000023,2024-04-25
885792,0,4515.200000000012,2024-05-25
885793,0,4528.400000000023,2024-06-24
885794,0,4514.300000000047,2023-11-16
885796,0,4529.099999999977,2023-12-16
885797,0,4539.0,2024-01-15
885798,0,4510.699999999953,2024-02-14
885800,0,4509.600000000006,2024-03-15
885802,0,4524.699999999953,2024-04-14
885803,0,4510.699999999953,2024-05-14
885805,0,4523.099999999977,2024-06-13
885807,0,4500.599999999977,2024-06-13
885808,0,4532.300000000047,2023-10-23
885809,0,4523.199999999953,2023-11-22
885810,0,4505.800000000047,2023-12-22
885811,0,4501.0,2024-01-21
885812,0,4530.100000000006,2024-02-20
885814,0,4547.400000000023,2024-03-21
885815,0,4498.800000000047,2024-04-20
885816,0,4531.5,2024-05-20
885817,0,4534.900000000023,2024-06-19
885818,0,4533.799999999988,2023-10-03
885819,0,4532.100000000006,2023-11-02
885820,0,4522.099999999977,2023-12-02
885821,0,4508.400000000023,2024-01-01
885823,0,4544.700000000012,2024-01-31
885824,0,4513.200000000012,2024-03-01
885825,0,4528.300000000047,2024-03-31
885827,0,4545.300000000047,2024-04-30
885828,0,4496.299999999988,2024-05-30
885830,0,4510.0,2024-06-29
885831,0,4497.800000000047,2023-08-03
885832,0,4523.900000000023,2023-09-02
885834,0,4496.200000000012,2023-10-02
